Tool, Runtime
Shovel_train, 5129
Shovel_train, 3519
Shovel_train, 7532
Shovel_train, 4552
Shovel_train, 5283
Shovel_train, 5284
Shovel_train, 6505
Shovel_train, 1395
Shovel_train, 845
Shovel_train, 362
Shovel_train, 3438
Shovel_train, 1981
Shovel_train, 2694
Shovel_train, 3187
Shovel_train, 1979
Shovel_train, 4109
Shovel_train, 1841
Shovel_train, 1116
Shovel_train, 1580
Shovel_train, 1558
Shovel_train, 5950
Shovel_train, 3259
Shovel_train, 1050
Shovel_train, 8786
Shovel_train, 14380
Shovel_train, 8419
Shovel_train, 1911
Shovel_train, 1597
Shovel_train, 1180
Shovel_train, 5377
Shovel_train, 9688
Shovel_train, 4289
Shovel_train, 4240
Shovel_train, 2137
Shovel_train, 1538
Shovel_train, 1859
Shovel_train, 1516
Shovel_train, 2653
Shovel_train, 635
Shovel_train, 3509
Shovel_train, 3525
Shovel_train, 292
Shovel_train, 2101
Shovel_train, 1019
Shovel_train, 740
Shovel_train, 1250
Shovel_train, 943
Shovel_train, 1363
Shovel_train, 649
Shovel_train, 1494
Shovel_train, 3315
Shovel_train, 3255
Shovel_train, 3129
Shovel_train, 6824
Shovel_train, 2312
Shovel_train, 3108
Shovel_train, 3661
Shovel_train, 806
Shovel_train, 3905
Shovel_train, 6183
Shovel_train, 705
Shovel_train, 37
Shovel_train, 511
Shovel_train, 291
Shovel_train, 524
Shovel_train, 285
Shovel_train, 179
Shovel_train, 536
Shovel_train, 126
Shovel_train, 562
Shovel_train, 1900
Shovel_train, 1168
Shovel_train, 1896
Shovel_train, 1277
Shovel_train, 1932
Shovel_train, 1327
Shovel_train, 2510
Shovel_train, 2045
Shovel_train, 2016
Shovel_train, 2329
Shovel_train, 1674
Shovel_train, 1835
Shovel_train, 2576
Shovel_train, 1705
Shovel_train, 1360
Shovel_train, 1063
Shovel_train, 1536
Shovel_train, 2056
Shovel_train, 1608
Shovel_train, 3174
Shovel_train, 9990
Shovel_train, 5633
Shovel_train, 5945
Shovel_train, 7444
Shovel_train, 6336
Shovel_train, 6318
Shovel_train, 2774
Shovel_train, 1481
Shovel_train, 9810
Shovel_train, 4867
