Tool, Runtime
GumTree_all, 6515
GumTree_all, 5542
GumTree_all, 696
GumTree_all, 4861
GumTree_all, 5481
GumTree_all, 780
GumTree_all, 18719
GumTree_all, 17802
GumTree_all, 14187
GumTree_all, 13204
GumTree_all, 1488
GumTree_all, 13606
GumTree_all, 2105
GumTree_all, 13242
GumTree_all, 20271
GumTree_all, 20060
GumTree_all, 20091
GumTree_all, 19300
GumTree_all, 19917
GumTree_all, 20032
GumTree_all, 7175
GumTree_all, 7265
GumTree_all, 465
GumTree_all, 7075
GumTree_all, 8392
GumTree_all, 466
GumTree_all, 6775
GumTree_all, 7072
GumTree_all, 7058
GumTree_all, 1289
GumTree_all, 522
GumTree_all, 1478
GumTree_all, 1252
GumTree_all, 5013
GumTree_all, 5253
GumTree_all, 8013
GumTree_all, 7454
GumTree_all, 12116
GumTree_all, 12137
GumTree_all, 12038
GumTree_all, 12203
GumTree_all, 12202
GumTree_all, 12407
GumTree_all, 12133
GumTree_all, 12095
GumTree_all, 8031
GumTree_all, 8038
GumTree_all, 7940
GumTree_all, 8455
GumTree_all, 7997
GumTree_all, 7988
GumTree_all, 7919
GumTree_all, 12064
GumTree_all, 7339
GumTree_all, 8813
GumTree_all, 12331
GumTree_all, 6462
GumTree_all, 6350
GumTree_all, 6355
GumTree_all, 6335
GumTree_all, 8922
GumTree_all, 8931
GumTree_all, 9009
GumTree_all, 8966
GumTree_all, 9112
GumTree_all, 9241
GumTree_all, 9214
GumTree_all, 9246
GumTree_all, 6335
GumTree_all, 6356
GumTree_all, 6402
GumTree_all, 6329
GumTree_all, 6928
GumTree_all, 6423
GumTree_all, 9196
GumTree_all, 2528
GumTree_all, 599
GumTree_all, 593
GumTree_all, 2412
GumTree_all, 2478
GumTree_all, 2442
GumTree_all, 2431
GumTree_all, 822
GumTree_all, 225
GumTree_all, 598
GumTree_all, 2431
GumTree_all, 2447
GumTree_all, 12300
GumTree_all, 12114
GumTree_all, 1697
GumTree_all, 12404
GumTree_all, 12100
GumTree_all, 12108
GumTree_all, 12097
GumTree_all, 6295
GumTree_all, 12045
GumTree_all, 12472
GumTree_all, 12052
GumTree_all, 12041
GumTree_all, 2417
GumTree_all, 2799
GumTree_all, 3027
GumTree_all, 3107
GumTree_all, 3177
GumTree_all, 3018
GumTree_all, 3006
GumTree_all, 2992
GumTree_all, 4927
GumTree_all, 4987
GumTree_all, 23666
GumTree_all, 23741
GumTree_all, 23987
GumTree_all, 23634
GumTree_all, 24081
GumTree_all, 23887
GumTree_all, 23660
GumTree_all, 14106
GumTree_all, 9610
GumTree_all, 23786
GumTree_all, 23575
GumTree_all, 23725
GumTree_all, 23693
GumTree_all, 23625
GumTree_all, 23915
GumTree_all, 23593
GumTree_all, 23672
GumTree_all, 23819
GumTree_all, 11593
GumTree_all, 23716
GumTree_all, 14121
GumTree_all, 7044
GumTree_all, 23658
GumTree_all, 9662
GumTree_all, 15810
GumTree_all, 15849
GumTree_all, 23894
GumTree_all, 23766
GumTree_all, 23742
GumTree_all, 16917
GumTree_all, 22050
GumTree_all, 23833
GumTree_all, 23581
GumTree_all, 23851
GumTree_all, 24221
GumTree_all, 23677
GumTree_all, 23669
GumTree_all, 6732
GumTree_all, 23763
GumTree_all, 4415
GumTree_all, 9100
GumTree_all, 9085
GumTree_all, 9230
GumTree_all, 9141
GumTree_all, 9355
GumTree_all, 9164
GumTree_all, 9121
GumTree_all, 9119
GumTree_all, 9141
GumTree_all, 8315
GumTree_all, 8222
GumTree_all, 9272
GumTree_all, 9183
GumTree_all, 9163
GumTree_all, 9166
GumTree_all, 4397
GumTree_all, 4128
GumTree_all, 9144
GumTree_all, 4485
GumTree_all, 9095
GumTree_all, 9303
GumTree_all, 9114
GumTree_all, 9102
GumTree_all, 9111
GumTree_all, 16548
GumTree_all, 10877
GumTree_all, 17749
GumTree_all, 5237
GumTree_all, 17441
GumTree_all, 5288
GumTree_all, 3494
GumTree_all, 5428
GumTree_all, 1101
GumTree_all, 17600
GumTree_all, 877
GumTree_all, 16515
GumTree_all, 850
GumTree_all, 17279
GumTree_all, 15961
GumTree_all, 20959
GumTree_all, 22825
GumTree_all, 22942
GumTree_all, 21467
GumTree_all, 23042
GumTree_all, 20959
GumTree_all, 16189
GumTree_all, 15919
GumTree_all, 16009
GumTree_all, 22971
GumTree_all, 16260
GumTree_all, 22856
GumTree_all, 23050
GumTree_all, 6503
GumTree_all, 23153
GumTree_all, 22744
GumTree_all, 36717
GumTree_all, 34793
GumTree_all, 35121
GumTree_all, 34927
GumTree_all, 35169
GumTree_all, 35119
GumTree_all, 35134
GumTree_all, 14760
GumTree_all, 35097
GumTree_all, 978
GumTree_all, 445
GumTree_all, 1447
GumTree_all, 2785
GumTree_all, 3275
GumTree_all, 2328
GumTree_all, 2694
GumTree_all, 1366
GumTree_all, 1378
GumTree_all, 1356
GumTree_all, 1894
GumTree_all, 1353
GumTree_all, 1373
GumTree_all, 6480
GumTree_all, 1408
GumTree_all, 878
GumTree_all, 1352
GumTree_all, 1341
GumTree_all, 1354
GumTree_all, 1379
GumTree_all, 1375
GumTree_all, 1377
GumTree_all, 2858
GumTree_all, 2747
GumTree_all, 6084
GumTree_all, 4104
GumTree_all, 1841
GumTree_all, 4261
GumTree_all, 4093
GumTree_all, 1824
GumTree_all, 4083
GumTree_all, 4108
GumTree_all, 4104
GumTree_all, 4067
GumTree_all, 4330
GumTree_all, 4114
GumTree_all, 4053
GumTree_all, 4088
GumTree_all, 4338
GumTree_all, 4153
GumTree_all, 4083
GumTree_all, 1834
GumTree_all, 4078
GumTree_all, 4106
GumTree_all, 4490
GumTree_all, 1834
GumTree_all, 4090
GumTree_all, 1818
GumTree_all, 4086
GumTree_all, 3660
GumTree_all, 2495
GumTree_all, 3616
GumTree_all, 2516
GumTree_all, 2531
GumTree_all, 2623
GumTree_all, 956
GumTree_all, 939
GumTree_all, 2518
GumTree_all, 2522
GumTree_all, 2503
GumTree_all, 3737
GumTree_all, 2595
GumTree_all, 12491
GumTree_all, 16664
GumTree_all, 5992
GumTree_all, 11606
GumTree_all, 5977
GumTree_all, 3248
GumTree_all, 15320
GumTree_all, 15229
GumTree_all, 6015
GumTree_all, 11677
GumTree_all, 20422
GumTree_all, 61150
GumTree_all, 9881
GumTree_all, 60733
GumTree_all, 9496
GumTree_all, 9428
GumTree_all, 9459
GumTree_all, 60814
GumTree_all, 60866
GumTree_all, 20594
GumTree_all, 20237
GumTree_all, 57114
GumTree_all, 20363
GumTree_all, 60884
GumTree_all, 61005
GumTree_all, 60898
GumTree_all, 20453
GumTree_all, 60685
GumTree_all, 48084
GumTree_all, 60480
GumTree_all, 28609
GumTree_all, 436
GumTree_all, 60715
GumTree_all, 21039
GumTree_all, 40170
GumTree_all, 62800
GumTree_all, 20587
GumTree_all, 46525
GumTree_all, 21811
GumTree_all, 36377
GumTree_all, 5014
GumTree_all, 42947
GumTree_all, 39822
GumTree_all, 42268
GumTree_all, 42905
GumTree_all, 6595
GumTree_all, 39881
GumTree_all, 22046
GumTree_all, 41767
GumTree_all, 42282
GumTree_all, 42689
GumTree_all, 41804
GumTree_all, 42224
GumTree_all, 41687
GumTree_all, 41664
GumTree_all, 42404
GumTree_all, 43402
GumTree_all, 45662
GumTree_all, 19778
GumTree_all, 45534
