Tool, Runtime
GumTree_train, 6515
GumTree_train, 5542
GumTree_train, 696
GumTree_train, 4861
GumTree_train, 5481
GumTree_train, 780
GumTree_train, 18719
GumTree_train, 17802
GumTree_train, 14187
GumTree_train, 13204
GumTree_train, 1488
GumTree_train, 13606
GumTree_train, 2105
GumTree_train, 13242
GumTree_train, 20271
GumTree_train, 20060
GumTree_train, 20091
GumTree_train, 19300
GumTree_train, 19917
GumTree_train, 20032
GumTree_train, 7175
GumTree_train, 7265
GumTree_train, 465
GumTree_train, 7075
GumTree_train, 8392
GumTree_train, 466
GumTree_train, 6775
GumTree_train, 7072
GumTree_train, 7058
GumTree_train, 1289
GumTree_train, 522
GumTree_train, 1478
GumTree_train, 1252
GumTree_train, 5013
GumTree_train, 5253
GumTree_train, 8013
GumTree_train, 7454
GumTree_train, 12116
GumTree_train, 12137
GumTree_train, 12038
GumTree_train, 12203
GumTree_train, 12202
GumTree_train, 12407
GumTree_train, 12133
GumTree_train, 12095
GumTree_train, 8031
GumTree_train, 8038
GumTree_train, 7940
GumTree_train, 8455
GumTree_train, 7997
GumTree_train, 7988
GumTree_train, 7919
GumTree_train, 12064
GumTree_train, 7339
GumTree_train, 8813
GumTree_train, 12331
GumTree_train, 6462
GumTree_train, 6350
GumTree_train, 6355
GumTree_train, 6335
GumTree_train, 8922
GumTree_train, 8931
GumTree_train, 9009
GumTree_train, 8966
GumTree_train, 9112
GumTree_train, 9241
GumTree_train, 9214
GumTree_train, 9246
GumTree_train, 6335
GumTree_train, 6356
GumTree_train, 6402
GumTree_train, 6329
GumTree_train, 6928
GumTree_train, 6423
GumTree_train, 9196
GumTree_train, 2528
GumTree_train, 599
GumTree_train, 593
GumTree_train, 2412
GumTree_train, 2478
GumTree_train, 2442
GumTree_train, 2431
GumTree_train, 822
GumTree_train, 225
GumTree_train, 598
GumTree_train, 2431
GumTree_train, 2447
GumTree_train, 12300
GumTree_train, 12114
GumTree_train, 1697
GumTree_train, 12404
GumTree_train, 12100
GumTree_train, 12108
GumTree_train, 12097
GumTree_train, 6295
GumTree_train, 12045
GumTree_train, 12472
GumTree_train, 12052
GumTree_train, 12041
GumTree_train, 2417
GumTree_train, 2799
GumTree_train, 3027
GumTree_train, 3107
GumTree_train, 3177
GumTree_train, 3018
GumTree_train, 3006
GumTree_train, 2992
GumTree_train, 4927
GumTree_train, 4987
GumTree_train, 23666
GumTree_train, 23741
GumTree_train, 23987
GumTree_train, 23634
GumTree_train, 24081
GumTree_train, 23887
GumTree_train, 23660
GumTree_train, 14106
GumTree_train, 9610
GumTree_train, 23786
GumTree_train, 23575
GumTree_train, 23725
GumTree_train, 23693
GumTree_train, 23625
GumTree_train, 23915
GumTree_train, 23593
GumTree_train, 23672
GumTree_train, 23819
GumTree_train, 11593
GumTree_train, 23716
GumTree_train, 14121
GumTree_train, 7044
GumTree_train, 23658
GumTree_train, 9662
GumTree_train, 15810
GumTree_train, 15849
GumTree_train, 23894
GumTree_train, 23766
GumTree_train, 23742
GumTree_train, 16917
GumTree_train, 22050
GumTree_train, 23833
GumTree_train, 23581
GumTree_train, 23851
GumTree_train, 24221
GumTree_train, 23677
GumTree_train, 23669
GumTree_train, 6732
GumTree_train, 23763
GumTree_train, 4415
GumTree_train, 9100
GumTree_train, 9085
GumTree_train, 9230
GumTree_train, 9141
GumTree_train, 9355
GumTree_train, 9164
GumTree_train, 9121
GumTree_train, 9119
GumTree_train, 9141
GumTree_train, 8315
GumTree_train, 8222
GumTree_train, 9272
GumTree_train, 9183
GumTree_train, 9163
GumTree_train, 9166
GumTree_train, 4397
GumTree_train, 4128
GumTree_train, 9144
GumTree_train, 4485
GumTree_train, 9095
GumTree_train, 9303
GumTree_train, 9114
GumTree_train, 9102
GumTree_train, 9111
GumTree_train, 16548
GumTree_train, 10877
GumTree_train, 17749
GumTree_train, 5237
GumTree_train, 17441
GumTree_train, 5288
GumTree_train, 3494
GumTree_train, 5428
GumTree_train, 1101
GumTree_train, 17600
GumTree_train, 877
GumTree_train, 16515
GumTree_train, 850
GumTree_train, 17279
GumTree_train, 15961
GumTree_train, 20959
GumTree_train, 22825
GumTree_train, 22942
GumTree_train, 21467
GumTree_train, 23042
GumTree_train, 20959
GumTree_train, 16189
GumTree_train, 15919
GumTree_train, 16009
GumTree_train, 22971
GumTree_train, 16260
GumTree_train, 22856
GumTree_train, 23050
GumTree_train, 6503
GumTree_train, 23153
GumTree_train, 22744
GumTree_train, 36717
GumTree_train, 34793
GumTree_train, 35121
GumTree_train, 34927
GumTree_train, 35169
GumTree_train, 35119
GumTree_train, 35134
GumTree_train, 14760
GumTree_train, 35097
GumTree_train, 978
GumTree_train, 445
GumTree_train, 1447
GumTree_train, 2785
GumTree_train, 3275
GumTree_train, 2328
GumTree_train, 2694
GumTree_train, 1366
GumTree_train, 1378
GumTree_train, 1356
GumTree_train, 1894
GumTree_train, 1353
GumTree_train, 1373
GumTree_train, 6480
GumTree_train, 1408
GumTree_train, 878
GumTree_train, 1352
GumTree_train, 1341
GumTree_train, 1354
GumTree_train, 1379
GumTree_train, 1375
GumTree_train, 1377
GumTree_train, 2858
GumTree_train, 2747
GumTree_train, 6084
GumTree_train, 4104
GumTree_train, 1841
GumTree_train, 4261
GumTree_train, 4093
GumTree_train, 1824
GumTree_train, 4083
GumTree_train, 4108
GumTree_train, 4104
GumTree_train, 4067
GumTree_train, 4330
GumTree_train, 4114
GumTree_train, 4053
GumTree_train, 4088
GumTree_train, 4338
GumTree_train, 4153
GumTree_train, 4083
GumTree_train, 1834
GumTree_train, 4078
GumTree_train, 4106
GumTree_train, 4490
GumTree_train, 1834
GumTree_train, 4090
GumTree_train, 1818
GumTree_train, 4086
GumTree_train, 3660
GumTree_train, 2495
GumTree_train, 3616
GumTree_train, 2516
GumTree_train, 2531
GumTree_train, 2623
GumTree_train, 956
GumTree_train, 939
GumTree_train, 2518
GumTree_train, 2522
GumTree_train, 2503
GumTree_train, 3737
GumTree_train, 2595
GumTree_train, 12491
GumTree_train, 16664
GumTree_train, 5992
GumTree_train, 11606
GumTree_train, 5977
GumTree_train, 3248
GumTree_train, 15320
GumTree_train, 15229
GumTree_train, 6015
GumTree_train, 11677
GumTree_train, 20422
GumTree_train, 61150
GumTree_train, 9881
GumTree_train, 60733
GumTree_train, 9496
GumTree_train, 9428
GumTree_train, 9459
GumTree_train, 60814
GumTree_train, 60866
GumTree_train, 20594
GumTree_train, 20237
GumTree_train, 57114
GumTree_train, 20363
GumTree_train, 60884
GumTree_train, 61005
GumTree_train, 60898
GumTree_train, 20453
GumTree_train, 60685
GumTree_train, 48084
GumTree_train, 60480
GumTree_train, 28609
GumTree_train, 436
GumTree_train, 60715
GumTree_train, 21039
GumTree_train, 40170
GumTree_train, 62800
GumTree_train, 20587
GumTree_train, 46525
GumTree_train, 21811
GumTree_train, 36377
GumTree_train, 5014
GumTree_train, 42947
GumTree_train, 39822
GumTree_train, 42268
GumTree_train, 42905
GumTree_train, 6595
GumTree_train, 39881
GumTree_train, 22046
GumTree_train, 41767
GumTree_train, 42282
GumTree_train, 42689
GumTree_train, 41804
GumTree_train, 42224
GumTree_train, 41687
GumTree_train, 41664
GumTree_train, 42404
GumTree_train, 43402
GumTree_train, 45662
GumTree_train, 19778
GumTree_train, 45534
GumTree_train, 2821
GumTree_train, 5224
GumTree_train, 2756
GumTree_train, 2737
GumTree_train, 42259
GumTree_train, 40233
GumTree_train, 45063
GumTree_train, 45486
GumTree_train, 46145
GumTree_train, 45235
GumTree_train, 45498
GumTree_train, 46114
GumTree_train, 45334
GumTree_train, 45501
GumTree_train, 15050
GumTree_train, 7129
GumTree_train, 2798
GumTree_train, 1949
GumTree_train, 2073
GumTree_train, 7157
GumTree_train, 3712
GumTree_train, 5448
GumTree_train, 5459
GumTree_train, 5451
GumTree_train, 5458
GumTree_train, 6922
GumTree_train, 6624
GumTree_train, 6308
GumTree_train, 3038
GumTree_train, 5766
GumTree_train, 5849
GumTree_train, 2694
GumTree_train, 6272
GumTree_train, 25229
GumTree_train, 3938
GumTree_train, 26156
GumTree_train, 25621
GumTree_train, 25653
GumTree_train, 16214
GumTree_train, 25406
GumTree_train, 3134
GumTree_train, 15625
GumTree_train, 26253
GumTree_train, 25796
GumTree_train, 25845
GumTree_train, 3810
